site_type,distance_angstrom
FCC,0.911837
FCC,0.755433
FCC,1.212253
FCC,1.610016
FCC,1.212353
FCC,1.001602
FCC,1.107548
FCC,0.778495
FCC,0.935132
FCC,0.676622
FCC,0.871372
FCC,0.338726
FCC,0.607102
FCC,0.595032
FCC,0.352054
FCC,1.197987
FCC,1.399583
FCC,1.325396
FCC,1.270348
FCC,1.496299
FCC,1.00524
FCC,1.12263
FCC,1.662528
FCC,1.887405
FCC,1.682825
FCC,0.920903
FCC,0.54941
FCC,1.519618
FCC,0.911237
FCC,1.725753
FCC,1.837625
FCC,0.360979
FCC,0.533813
FCC,0.399626
FCC,0.702205
FCC,1.101349
FCC,1.113295
FCC,1.709559
FCC,1.560628
FCC,1.328486
FCC,1.623218
FCC,0.389817
FCC,0.783136
FCC,0.240731
FCC,0.60941
FCC,0.964354
FCC,1.676623
FCC,1.178005
FCC,0.655747
FCC,1.517589
FCC,1.613043
FCC,1.596243
FCC,2.202237
FCC,1.19226
FCC,0.939831
FCC,0.529053
FCC,1.225859
FCC,1.483062
FCC,0.779422
FCC,1.316759
FCC,0.627741
FCC,0.287178
FCC,0.414268
FCC,2.013299
FCC,0.400779
FCC,1.57724
FCC,1.07269
FCC,0.558198
FCC,0.528126
FCC,1.644574
FCC,0.92454
FCC,1.46196
FCC,0.479395
FCC,0.48274
FCC,1.714798
FCC,1.408105
FCC,0.574702
FCC,0.837726
FCC,1.041257
FCC,0.623269
FCC,1.663899
FCC,1.470567
FCC,0.81207
FCC,0.86576
FCC,1.237309
FCC,0.935148
FCC,1.115516
FCC,1.627885
FCC,0.885841
FCC,1.773779
FCC,0.452494
FCC,0.53332
FCC,0.560983
FCC,1.495065
FCC,1.05514
FCC,1.096021
FCC,0.883589
FCC,1.165434
FCC,0.462338
FCC,0.493003
FCC,0.611221
FCC,0.810221
FCC,1.357118
FCC,1.096981
FCC,0.551022
FCC,0.643287
FCC,1.067093
FCC,1.092299
FCC,0.640941
FCC,0.763091
FCC,2.049873
FCC,0.486854
FCC,1.416268
FCC,0.55074
FCC,1.41286
FCC,1.612539
FCC,1.540721
FCC,0.450257
FCC,1.248769
FCC,1.065614
FCC,1.961356
FCC,0.987302
FCC,1.67277
FCC,1.139482
FCC,1.552433
FCC,0.982475
FCC,2.016637
FCC,1.339555
FCC,1.394727
FCC,1.182659
FCC,1.084141
FCC,1.527011
FCC,0.503752
FCC,1.075525
FCC,1.206077
FCC,1.530021
FCC,1.172746
FCC,0.813664
FCC,1.221306
FCC,1.498627
FCC,1.049109
FCC,1.815013
FCC,1.946684
FCC,1.017433
FCC,1.930282
FCC,0.999789
FCC,1.469683
FCC,1.566649
FCC,0.898542
FCC,1.260193
FCC,0.961124
FCC,0.853818
FCC,1.172737
FCC,1.935585
FCC,0.106761
FCC,0.68411
FCC,0.995224
FCC,1.189531
FCC,1.623618
FCC,0.419263
FCC,0.79133
FCC,1.497233
FCC,1.180301
FCC,0.86489
FCC,1.499081
FCC,1.109042
FCC,1.561805
FCC,1.193636
FCC,1.67989
FCC,0.071179
FCC,1.302518
FCC,1.238492
FCC,0.660327
FCC,0.831605
FCC,1.966141
FCC,1.569726
FCC,0.596187
FCC,0.758468
FCC,1.375801
FCC,0.741505
FCC,0.783158
FCC,0.899066
FCC,0.680803
FCC,0.642627
FCC,1.771136
FCC,1.229063
FCC,0.860877
FCC,0.669799
FCC,0.482961
FCC,2.115838
FCC,1.154509
FCC,1.780253
FCC,1.625382
FCC,1.996869
FCC,1.420231
FCC,1.265684
FCC,0.927903
FCC,0.545346
FCC,1.490277
FCC,0.882512
FCC,1.826504
FCC,1.340258
FCC,1.217749
FCC,1.024598
FCC,0.967654
FCC,1.345723
FCC,1.110713
