r_angstrom,pristine_rdf,Irr._Core_0-15A_rdf,Irr._Shell_15-30A_rdf,Irr._Outer_30-45A_rdf,Irr._Far_45-60A_rdf
4.6000000000000005,0.023317878064813276,0.01663080696024443,0.016981336125809567,0.02363909327488468,0.023924151995801758
4.65,0.022022620999350966,0.01591892215476344,0.0186266443945738,0.024415582859922444,0.02394064937328584
4.7,0.023460828756235824,0.016515991219145158,0.017785146009388124,0.02330815866780336,0.023496445023589833
4.75,0.025463620403104684,0.019101035226821994,0.01835481454031128,0.02236389850396202,0.023083819845741378
4.8,0.0240204620978861,0.019542093756431598,0.018554585416215692,0.02224658422893961,0.021612917347028627
4.8500000000000005,0.02026461880872387,0.01820929655270601,0.01882282003625409,0.019788788386629324,0.019725646744621905
4.9,0.01621721191229581,0.019848895851162878,0.019447037327631308,0.01693535364468737,0.01718186738900359
4.95,0.014311117439139227,0.020761886271073025,0.019647039940785475,0.015123097763862677,0.014456498282207198
5.0,0.012169209655475957,0.02072246336286459,0.021082907475867666,0.013188403713524132,0.01149432457563731
5.05,0.009480597123343277,0.022596515069474136,0.022844638499803425,0.011682546531820904,0.009025318868788858
5.1000000000000005,0.005376638130487179,0.023750965876719612,0.02467974319071777,0.010710060789661835,0.0066937527715942215
5.15,0.0025405561353773498,0.023183305160530507,0.025950428726590685,0.01095929570045005,0.005142010701665397
5.2,0.002185211829584842,0.022738108592602533,0.026535916666357896,0.01232685064873141,0.005802095387075817
5.25,0.004421355653379869,0.0237849871677715,0.029130773362245736,0.015538458830610728,0.009114218868506302
5.300000000000001,0.011570793742496343,0.025156519922140935,0.030041862074638756,0.021330194647829637,0.016142114022565494
5.3500000000000005,0.025219512270177963,0.02819196393216696,0.029829630906732456,0.02931084250736497,0.02669213870908907
5.4,0.039526784323273126,0.0269668709981078,0.03129574772235416,0.037709258290932544,0.039020671431868
5.45,0.055027335427893474,0.02784125941961927,0.030848547333911874,0.04360615865817092,0.04777162612865002
